***********************************************************************
dp1 - Testcases parameters N: 300000000, Iterations: 20
***********************************************************************
Iteration:   71 ~ R: 1000000.000000, T: 0.001151 sec, B: 6.474 GB/sec, F: 1.738 GFLOP/sec
Iteration:   72 ~ R: 1000000.000000, T: 0.001151 sec, B: 6.472 GB/sec, F: 1.737 GFLOP/sec
Iteration:   73 ~ R: 1000000.000000, T: 0.001151 sec, B: 6.471 GB/sec, F: 1.737 GFLOP/sec
Iteration:   74 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.466 GB/sec, F: 1.736 GFLOP/sec
Iteration:   75 ~ R: 1000000.000000, T: 0.001151 sec, B: 6.474 GB/sec, F: 1.738 GFLOP/sec
Iteration:   76 ~ R: 1000000.000000, T: 0.001156 sec, B: 6.445 GB/sec, F: 1.730 GFLOP/sec
Iteration:   77 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.467 GB/sec, F: 1.736 GFLOP/sec
Iteration:   78 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.466 GB/sec, F: 1.736 GFLOP/sec
Iteration:   79 ~ R: 1000000.000000, T: 0.001151 sec, B: 6.472 GB/sec, F: 1.737 GFLOP/sec
Iteration:   80 ~ R: 1000000.000000, T: 0.001153 sec, B: 6.461 GB/sec, F: 1.734 GFLOP/sec
Iteration:   81 ~ R: 1000000.000000, T: 0.001150 sec, B: 6.477 GB/sec, F: 1.739 GFLOP/sec
Iteration:   82 ~ R: 1000000.000000, T: 0.001155 sec, B: 6.453 GB/sec, F: 1.732 GFLOP/sec
Iteration:   83 ~ R: 1000000.000000, T: 0.001153 sec, B: 6.465 GB/sec, F: 1.735 GFLOP/sec
Iteration:   84 ~ R: 1000000.000000, T: 0.001167 sec, B: 6.385 GB/sec, F: 1.714 GFLOP/sec
Iteration:   85 ~ R: 1000000.000000, T: 0.001153 sec, B: 6.461 GB/sec, F: 1.734 GFLOP/sec
Iteration:   86 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.469 GB/sec, F: 1.737 GFLOP/sec
Iteration:   87 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.466 GB/sec, F: 1.736 GFLOP/sec
Iteration:   88 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.467 GB/sec, F: 1.736 GFLOP/sec
Iteration:   89 ~ R: 1000000.000000, T: 0.001155 sec, B: 6.448 GB/sec, F: 1.731 GFLOP/sec
Iteration:   90 ~ R: 1000000.000000, T: 0.001175 sec, B: 6.340 GB/sec, F: 1.702 GFLOP/sec
Iteration:   91 ~ R: 1000000.000000, T: 0.001169 sec, B: 6.374 GB/sec, F: 1.711 GFLOP/sec
Iteration:   92 ~ R: 1000000.000000, T: 0.001153 sec, B: 6.462 GB/sec, F: 1.735 GFLOP/sec
Iteration:   93 ~ R: 1000000.000000, T: 0.001153 sec, B: 6.463 GB/sec, F: 1.735 GFLOP/sec
Iteration:   94 ~ R: 1000000.000000, T: 0.001153 sec, B: 6.464 GB/sec, F: 1.735 GFLOP/sec
Iteration:   95 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.466 GB/sec, F: 1.736 GFLOP/sec
Iteration:   96 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.467 GB/sec, F: 1.736 GFLOP/sec
Iteration:   97 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.466 GB/sec, F: 1.736 GFLOP/sec
Iteration:   98 ~ R: 1000000.000000, T: 0.001155 sec, B: 6.453 GB/sec, F: 1.732 GFLOP/sec
Iteration:   99 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.470 GB/sec, F: 1.737 GFLOP/sec
Iteration:  100 ~ R: 1000000.000000, T: 0.001170 sec, B: 6.368 GB/sec, F: 1.710 GFLOP/sec
Iteration:  101 ~ R: 1000000.000000, T: 0.001154 sec, B: 6.459 GB/sec, F: 1.734 GFLOP/sec
Iteration:  102 ~ R: 1000000.000000, T: 0.001153 sec, B: 6.464 GB/sec, F: 1.735 GFLOP/sec
Iteration:  103 ~ R: 1000000.000000, T: 0.001153 sec, B: 6.462 GB/sec, F: 1.735 GFLOP/sec
Iteration:  104 ~ R: 1000000.000000, T: 0.001155 sec, B: 6.449 GB/sec, F: 1.731 GFLOP/sec
Iteration:  105 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.465 GB/sec, F: 1.736 GFLOP/sec
Iteration:  106 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.465 GB/sec, F: 1.735 GFLOP/sec
Iteration:  107 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.467 GB/sec, F: 1.736 GFLOP/sec
Iteration:  108 ~ R: 1000000.000000, T: 0.001151 sec, B: 6.472 GB/sec, F: 1.737 GFLOP/sec
